repo,url,intentZh,intentEn,category,isDsh,language,tech,keyDeps,stars,forks,sizeBytes,sizeHuman,created,updated,license,openIssues,compat,cloned,needsReview,lists,signals
"edison7009/EchoBird","https://github.com/edison7009/EchoBird","一键安装+切换 Claude Code/Codex/Kimi/Qwen 等 20+ 编码智能体","One-click install + model switch across 20+ coding agents","utility","no","Rust","Rust, react, typescript, vite, esm, ts-build","react-markdown","3134","339","20231059","19.3MB","2026-02-15","2026-08-14","MIT","347","unknown","yes","false","plugin",""
"whiteguo233/OpenBiliClaw","https://github.com/whiteguo233/OpenBiliClaw","跨平台 AI 内容发现 Agent（B站/小红书/抖音等）","Cross-platform AI content discovery agent (Bilibili/XHS/Douyin…)","tools","yes","Python","Python","","3066","117","70429131","67.2MB","2026-03-07","2026-08-15","MIT","24","unknown","yes","false","watch","readme-mentions-dsh"
"foryourhealth111-pixel/Vibe-Skills","https://github.com/foryourhealth111-pixel/Vibe-Skills","VibeSkills 是一个通用型技能，可自动路由本地技能并智能编排 harness 工作流。","VibeSkills is a general-purpose Skill that automatically routes local Skills and intelligently orchestrates harness workflows.","orchestration","no","Python","Python","","3023","223","37334535","35.6MB","2026-02-22","2026-08-15","Apache-2.0","34","unknown","yes","false","plugin",""
"omdsh-dev/DSH-better-sidebar","https://github.com/omdsh-dev/DSH-better-sidebar","侧边栏完整工作台：文件渲染/终端/Git/子代理","Sidebar workbench: file render/terminal/git/subagent","ui","yes","TypeScript","TypeScript, dsh-tools, dsh-session, cordis, react, playwright, typescript, vite, esm, ts-build","","3012","44","1639314","1.6MB","2026-08-07","2026-08-15","MIT","37","unknown","yes","false","plugin","cordis.patch.yml; cordis-dep:@cordisjs/plugin-loader; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-schema-form; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-web-react; @deepseek-ai/dsh-host-webserver; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-tools; cordis-dep:cordis; @deepseek-ai/cordis; readme-mentions-dsh"
"imsai-sh/zhuzhiliao","https://github.com/imsai-sh/zhuzhiliao","竹知了 —— 一转就哇哇叫的传统玩具，Web 模拟版。零依赖单文件，真实录音采样，移动端优先。","Bamboo Cicada — a traditional spinning toy that buzzes when turned, recreated as a zero-dependency single-file web simulation with real recorded samples, mobile-first.","tools","yes","HTML","HTML","","2870","343","1281315","1.2MB","2026-08-01","2026-08-15","NOASSERTION","14","unknown","yes","false","watch","readme-mentions-dsh"
"ccch1mneyyy/dsh-TUI","https://github.com/ccch1mneyyy/dsh-TUI","补位 DSH 官方 TUI 空缺的终端界面，Claude Code 风格全屏交互。","Terminal TUI filling DSH's gap — Claude Code-style fullscreen CLI.","utility","yes","TypeScript","TypeScript, dsh-tools, dsh-session, react, typescript, esm, ts-build","@deepseek-ai/dsh-agent, @deepseek-ai/dsh-agent-instructions, @deepseek-ai/dsh-agent-presets, @deepseek-ai/dsh-agent-tool-presentation, @deepseek-ai/dsh-commands, @deepseek-ai/dsh-cordis-host-runner, @deepseek-ai/dsh-llm, @deepseek-ai/dsh-persona","2624","39","8304430","7.9MB","2026-08-13","2026-08-15","MIT","47","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-instructions; @deepseek-ai/dsh-agent-presets; @deepseek-ai/dsh-agent-tool-presentation; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-cordis-host-runner; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-persona; @deepseek-ai/dsh-session; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-terminal; @deepseek-ai/dsh-terminal-bash; @deepseek-ai/dsh-tool-ask-user; @deepseek-ai/dsh-tool-bash-persistent; @deepseek-ai/dsh-tool-cordis; @deepseek-ai/dsh-user-questions; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/cordis-plugin-include; @deepseek-ai/cordis-plugin-loader; @deepseek-ai/dsh-atomic-write; @deepseek-ai/dsh-attachment; @deepseek-ai/dsh-brand; @deepseek-ai/dsh-code-runtime; @deepseek-ai/dsh-fs; @deepseek-ai/dsh-home-paths; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-session-persistence-jsonl; @deepseek-ai/dsh-session-persistence-sqlite; @deepseek-ai/dsh-sandbox; @deepseek-ai/dsh-sandbox-policy; @deepseek-ai/dsh-scope; @deepseek-ai/dsh-session-persistence; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-timeout; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/dsh-user-approval; readme-mentions-dsh"
"dsh-market/dsh-market","https://github.com/dsh-market/dsh-market","The plugin market inside DeepSeek Harness — browse, search, one-click install · DSH 可视化插件市场","The plugin marketplace built into DeepSeek Harness — browse, search, and one-click install. A visual DSH plugin market.","utility","yes","TypeScript","TypeScript, react, typescript, esm, ts-build","","2606","7","2276806","2.2MB","2026-08-14","2026-08-15","unknown","7","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Small-tailqwq/dsh-deep-whale","https://github.com/Small-tailqwq/dsh-deep-whale","DSH Web 鲸鱼娘皮肤系列（深海女仆工坊）","DSH Web whale-girl skin series","ui","yes","TypeScript","TypeScript","","1769","22","7808263","7.4MB","2026-08-13","2026-08-15","unknown","18","unknown","yes","false","plugin","readme-mentions-dsh"
"hyhmrright/brooks-lint","https://github.com/hyhmrright/brooks-lint","基于 12 本经典工程书籍的 AI 代码审查——带引用出处、严重等级与 6 种分析模式的腐化风险诊断……","AI code reviews grounded in 12 classic engineering books — decay risk diagnostics with book citations, severity labels, and 6 analysis modes including full-sweep auto-fix","tools","yes","JavaScript","JavaScript, esm","","1422","62","2288081","2.2MB","2026-03-26","2026-08-15","MIT","2","unknown","yes","false","watch","readme-mentions-dsh"
"AdamPlatin123/awesome-dsh-plugins","https://github.com/AdamPlatin123/awesome-dsh-plugins","DSH 插件目录，带每日兼容性跟踪","DSH plugin directory with daily compatibility tracking","utility","yes","Python","Python","","1416","68","4407670","4.2MB","2026-08-04","2026-08-15","MIT","5","unknown","yes","false","plugin","readme-mentions-dsh"
"zouyuxuan122/Deepseek-Harness-EAC","https://github.com/zouyuxuan122/Deepseek-Harness-EAC","DeepSeek Harness 的 Windows/Linux 桌面端「揽尽万象 EAC」：内置 Node 运行时与完整 dsh CLI 内核，一键启动，内置 10 套 UI 主题。","Windows/Linux desktop client for DeepSeek Harness (EAC = Embracing All Creation): bundled Node.js runtime with the full dsh CLI kernel, one-click startup and 10 built-in UI themes.","utility","yes","JavaScript","JavaScript, Electron","","1371","42","","","2026-08-14","2026-08-24","none","14","unknown","no","false","plugin","readme-mentions-dsh"
"dsh-tauri-desk/deepseek-harness-desktop","https://github.com/dsh-tauri-desk/deepseek-harness-desktop","基于 Tauri 的 DeepSeek Harness 桌面版：安装包仅约 5MB，零环境配置（自动装配 Node 内核），预置常用插件，支持 Windows / macOS / Linux。","Tauri-based DeepSeek Harness desktop app: ~5MB installer, zero environment setup (auto-provisioned Node runtime), preset plugins; Windows / macOS / Linux.","utility","yes","Rust","Rust, Tauri","","1280","60","","","2026-08-14","2026-08-24","MIT","8","unknown","no","false","plugin","dsh-plugin-topic; readme-mentions-dsh"
"zhnt/loushang","https://github.com/zhnt/loushang","python 原生 AI 编码工作流 harness（多模型编排）","Python-native AI coding harness (multi-model orchestration)","orchestration","no","Python","Python","","1264","186","23551188","22.5MB","2026-05-29","2026-08-14","Apache-2.0","32","unknown","yes","false","watch",""
"MeteorNOX/DeepSeek-Balance-Whale-Widget","https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget","住在 DSH Web 界面右下角的小鲸鱼娘余额挂件：显示 DeepSeek API 余额、今日已用与每轮对话消耗，支持数字滚动动画与拖拽吸附，随界面自动启用；标准 DSH 插件，可用 dsh plugin 安装。","A whale-girl widget living in the bottom-right corner of the DSH Web UI: DeepSeek API balance, daily usage and per-turn cost stats with rolling-number animations, drag-to-dock and auto-enable; standard DSH plugin installable via `dsh plugin`.","ui","yes","JavaScript","JavaScript","","1166","31","","","2026-08-18","2026-08-24","MIT","16","unknown","no","false","plugin","cordis.patch.yml; dsh-plugin-topic; readme-mentions-dsh"
"NanmiCoder/dsh-agent-teams","https://github.com/NanmiCoder/dsh-agent-teams","AgentTeams 插件","AgentTeams plugin","orchestration","yes","TypeScript","TypeScript, react, typescript, esm, ts-build","","1115","22","2008492","1.9MB","2026-08-12","2026-08-15","MIT","8","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-subagent; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"Anionex/agent-vision-toolkit","https://github.com/Anionex/agent-vision-toolkit","为纯文本模型看图设计的视觉工具箱与技能：多图理解、图片问答、UI 还原、GUI 自动化。","Vision toolbox & skills for text-only models: multi-image QA, UI reconstruction, GUI automation.","llm","yes","Python","Python","","1114","30","23756732","22.7MB","2026-08-01","2026-08-15","MIT","4","unknown","yes","false","plugin","readme-mentions-dsh"
"bowenliang123/dsh-context","https://github.com/bowenliang123/dsh-context","DeepSeek Harness 的上下文洞察面板插件——在 Web 界面新增 Context 标签页，展示模型上下文窗口由哪些内容构成……","A DeepSeek Harness plugin for  Context insight dashboard — showing what the model's context window is made of and how it evolves.","session","yes","TypeScript","TypeScript, react, typescript, esbuild, esm, ts-build","","1108","1","1834449","1.7MB","2026-08-14","2026-08-15","Apache-2.0","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; keyword-plugin; readme-mentions-dsh"
"paean-ai/deeptide","https://github.com/paean-ai/deeptide","DeepSeek 团队出品的 Swift 原生 macOS 应用。","Swift-native macOS app by the DeepSeek team.","utility","no","Rust","Rust, esm","","1096","134","12416133","11.8MB","2026-05-05","2026-08-14","MIT","1","unknown","yes","false","watch",""
"ysr666/dsh-vision-router","https://github.com/ysr666/dsh-vision-router","视觉路由。","Vision router.","llm","yes","JavaScript","JavaScript, puppeteer, esm","@deepseek-ai/schemastery, @deepseek-ai/dsh-llm-deepseek, @deepseek-ai/dsh-anonymous-user-id","1007","8","1508102","1.4MB","2026-08-13","2026-08-15","MIT","1","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/dsh-llm-deepseek; @deepseek-ai/dsh-anonymous-user-id; keyword-plugin; readme-mentions-dsh"
"PicGo/PicGo-Core","https://github.com/PicGo/PicGo-Core","⚡ 极致图床上传引擎，同时支持命令行与 API。",":zap:The ultimate image uploading engine. Both CLI & API supports.","llm","no","TypeScript","TypeScript, hono, axios, typescript, vite, ts-build","axios","981","99","1062630","1.0MB","2018-09-17","2026-08-14","MIT","13","unknown","yes","false","watch",""
"xyTom/coding-tools-mcp","https://github.com/xyTom/coding-tools-mcp","赋予任意 AI 智能体编程能力","Give any AI agent the ability to code","orchestration","no","Python","Python","","922","130","1911343","1.8MB","2026-05-21","2026-08-14","Apache-2.0","34","unknown","yes","false","watch",""
"0xsline/awesome-deepseek-harness","https://github.com/0xsline/awesome-deepseek-harness","DSH 生态精选：插件、工具与基建","DSH ecosystem curation: plugins, tools, infra","utility","yes","Python","Python","","919","120","553250","540KB","2026-08-11","2026-08-15","CC0-1.0","24","unknown","yes","false","plugin","readme-mentions-dsh"
"xmanrui/dsh-im","https://github.com/xmanrui/dsh-im","通过扫码、App Manifest 或机器人凭据把 IM 机器人接入 DeepSeek Harness：一个插件统一管理飞书、微信、钉钉、企业微信、QQ、Slack、Telegram、Discord、WhatsApp 九种渠道与 AI Office 连接器，每个渠道可接入多个机器人。","Connect IM bots to DeepSeek Harness via QR code, App Manifest or bot credentials: one plugin managing 9 channels (Feishu, WeChat, DingTalk, WeCom, QQ, Slack, Telegram, Discord, WhatsApp) plus an AI Office connector, with multiple independent bots per channel.","tools","yes","JavaScript","JavaScript, esm","","910","75","","","2026-08-14","2026-08-24","MIT","7","unknown","no","false","plugin","cordis.patch.yml; dsh-plugin-topic; readme-mentions-dsh"
"exoharness/exo","https://github.com/exoharness/exo","可递归自编辑自身的 agent+harness 架构","Fully recursive agent+harness that self-edits at runtime","orchestration","no","Rust","Rust, react, openai-sdk, typescript, vite, esm, ts-build","@shadcn/react, lucide-react, openai, react, react-dom","890","50","8277497","7.9MB","2026-05-20","2026-08-14","MIT","66","unknown","yes","false","plugin",""
"Anionex/dsh-vision-toolkit","https://github.com/Anionex/dsh-vision-toolkit","给纯文本模型加视觉：图片问答、长截图 OCR、UI 还原","Vision for text-only models: image QA, screenshot OCR, UI reconstruction","llm","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","","837","18","6082306","5.8MB","2026-08-13","2026-08-15","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/dsh-scope; @deepseek-ai/dsh-subprocess-local; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tool-skill; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-api-remotes; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-input-trigger; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-tool; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-host-webserver; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-tools; @deepseek-ai/cordis; @deepseek-ai/schemastery; keyword-plugin; readme-mentions-dsh"
"shaobeichen/dsh-pocket","https://github.com/shaobeichen/dsh-pocket","把 DeepSeek Harness 装进口袋：电脑上跑 dsh web，手机扫码即同步访问同一界面，支持局域网与公网穿透、实时同屏。","Put DeepSeek Harness in your pocket: run dsh web on your computer and mirror it to your phone by scanning a QR code — LAN and public-network tunneling with real-time screen sync.","tools","yes","JavaScript","JavaScript","","721","32","","","2026-08-15","2026-08-24","GPL-2.0","10","unknown","no","false","plugin","cordis.patch.yml; dsh-plugin-topic; readme-mentions-dsh"
"hellowind777/helloagents","https://github.com/hellowind777/helloagents","自主高级智能伙伴，持续工作直到完成。","Autonomous agent that keeps working until done.","orchestration","no","JavaScript","JavaScript, esm","","700","95","4004271","3.8MB","2025-09-26","2026-08-14","NOASSERTION","18","unknown","yes","false","watch",""
"Electricitysheep/dsh-handbook","https://github.com/Electricitysheep/dsh-handbook","DeepSeek Harness 从 0 到 1 深度手册：安装/插件开发/性能调优/实测案例。","In-depth DSH handbook: install/plugin-dev/perf-tuning/case studies.","utility","yes","Python","Python","","693","5","8917810","8.5MB","2026-08-13","2026-08-15","unknown","0","unknown","yes","false","watch","readme-mentions-dsh"
"sandbaseai/sandbase-harness","https://github.com/sandbaseai/sandbase-harness","开源的 CMA 兼容智能体运行时。本地运行多智能体系统，支持任意模型（Ollama/vLLM/Claude/GPT）、MCP 工具与场景模板……","Open-source CMA-compatible agent runtime for any model, with MCP tools, sandboxed sessions, audit, replay, and a local console. Includes a native DeepSeek Harness bundle over stdio MCP.","orchestration","yes","TypeScript","TypeScript, react, hono, openai-sdk, typescript, vite, esm, ts-build","@ai-sdk/openai","634","54","2510078","2.4MB","2026-07-11","2026-08-15","NOASSERTION","2","unknown","yes","false","watch","keyword-plugin; keyword-dsh; readme-mentions-dsh"
"vibeinging/dsh-work","https://github.com/vibeinging/dsh-work","本地优先 DSH 插件工作台","Local-first AI workbench for DSH plugins","orchestration","yes","JavaScript","JavaScript","","632","4","37430138","35.7MB","2026-08-13","2026-08-14","MIT","3","unknown","yes","false","plugin","readme-mentions-dsh"
"vibeinging/dsh-desktop","https://github.com/vibeinging/dsh-desktop","以官方 DSH Web 为核心的插件化桌面工作台：精选社区 Bundle、离线 Profile、Git Worktree、文件附件与受控原生能力，组合在一个 Electron 应用中。","Pluginized desktop workbench around the official DSH Web: curated community bundles, offline profiles, Git worktree, file attachments and controlled native capabilities in one Electron app.","utility","yes","JavaScript","TypeScript, Electron, React","","632","35","","","2026-08-13","2026-08-24","MIT","4","unknown","no","false","plugin","readme-mentions-dsh"
"yejiming/MuseAI","https://github.com/yejiming/MuseAI","创建你的 AI 角色，进入你的故事世界。和角色聊天、冒险、穿书，让每一次互动都留下羁绊（支持 DeepSeek Harness 插件，欢迎使用）","Create your AI characters and step into your story world. Chat, adventure, and dive into books with them, leaving a bond with every interaction (DeepSeek Harness plugin supported).","tools","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","@uiw/react-codemirror, echarts-for-react, react, react-dom, react-markdown, react-router-dom","621","46","10261546","9.8MB","2026-04-03","2026-08-14","unknown","7","unknown","yes","false","plugin","readme-mentions-dsh"
"myYangyunfan/dsh_desktop","https://github.com/myYangyunfan/dsh_desktop","开箱即用的 DeepSeek Harness Windows/macOS 桌面客户端：内置完整 dsh 运行时与全部官方插件，免装 Node.js；v0.5.0 迁移至 Tauri 2，「守护瀑布」让坏插件/坏配置不再白屏。","Out-of-the-box DeepSeek Harness desktop client for Windows/macOS: bundled dsh runtime with all official plugins, no Node.js required; v0.5.0 migrated to Tauri 2 with a guard cascade so broken plugins/configs never blank-screen.","utility","yes","JavaScript","JavaScript, Tauri, Electron","","592","27","","","2026-08-13","2026-08-24","MIT","11","unknown","no","false","plugin","readme-mentions-dsh"
"Nagi-ovo/dsh-ads","https://github.com/Nagi-ovo/dsh-ads","2005 年中文站点风格侧栏广告插件（恶搞）","2005-style sidebar ads plugin (parody)","utility","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","","575","2","94577101","90.2MB","2026-08-09","2026-08-15","BSD-3-Clause","5","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/schemastery; readme-mentions-dsh"
"Devin-AXIS/deepseek-design","https://github.com/Devin-AXIS/deepseek-design","DeepSeek Harness 可编辑设计系统：AI 生成、可视化持续编辑设计作品，附模板市场与 PPT 输出（npm 包 deepseek-idesign / ippt / ivideo）。","Editable design system for DeepSeek Harness: AI-generated, visually editable design artifacts with template marketplace and PPT output (npm: deepseek-idesign / deepseek-ippt / deepseek-ivideo).","ui","yes","JavaScript","JavaScript","","552","109","","","2026-08-15","2026-08-24","unknown","2","unknown","no","false","plugin","dsh-plugin-topic; readme-mentions-dsh"
"SII-Holos/synergy","https://github.com/SII-Holos/synergy","面向 Open Agentic Web 的通用智能体","General-purpose agent for the Open Agentic Web","orchestration","no","TypeScript","TypeScript, typescript, esm","","549","15","44086754","42.0MB","2026-03-27","2026-08-14","MIT","11","unknown","yes","false","plugin",""
"fufankeji/deepseek-harness-studio","https://github.com/fufankeji/deepseek-harness-studio","赋范空间出品的 DeepSeek Harness 零代码桌面增强：视觉增强、本地模型、插件市场一键安装与管理、Preset 广场与 AI 智能推荐。","Zero-code desktop companion for DeepSeek Harness by Fufan Space: visual enhancements, local model support, plugin marketplace with one-click install & management, Preset square and AI recommendations.","utility","yes","TypeScript","TypeScript, Electron","","542","48","","","2026-08-15","2026-08-24","MIT","2","unknown","no","false","plugin","readme-mentions-dsh"
"mnemon-dev/mnemon","https://github.com/mnemon-dev/mnemon","面向 AI 智能体的 LLM 监督式持久记忆——基于图谱的回忆、跨会话知识与单一二进制文件。兼容 Claude Code、OpenCl……","LLM-supervised persistent memory for AI agents — graph-based recall, cross-session knowledge, single binary. Works with DeepSeek Harness, Claude Code, OpenClaw, and any agent runtime.","session","yes","Go","Go","dsh-mnemon","531","61","6022420","5.7MB","2026-02-20","2026-08-15","Apache-2.0","13","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"omdsh-dev/dsh-at-file","https://github.com/omdsh-dev/dsh-at-file","DeepSeek Harness 的 Codex 风格 @file 提及：在输入框中搜索工作区文件并将其内容附加到提示词。","Codex-style @file mentions for DeepSeek Harness: search workspace files in the composer and attach their contents to prompts.","utility","yes","JavaScript","JavaScript, react, typescript, esbuild, vite, esm, ts-build","","485","6","4246031","4.0MB","2026-08-13","2026-08-15","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-typert-protocol; @deepseek-ai/dsh-invariants; @deepseek-ai/schemastery; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-api-remotes; @deepseek-ai/dsh-client-ui-input-trigger; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-typert-registry; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-llm; readme-mentions-dsh"
"Lum1104/dsh-browser","https://github.com/Lum1104/dsh-browser","把 DSH 网页版扩展成 Agent 工作台的侧边栏：以结构化文本操控浏览器（点击/填表/导航且保留登录态），内置记忆、技能、MCP 工具与会话管理。","Chrome/Firefox sidebar that turns DSH web into an agent workstation: text-structured browser control (click/type/navigate, logins preserved) plus memory, skills, MCP tools and session management.","tools","yes","TypeScript","TypeScript","@deepseek-ai/dsh","481","4","1642943","1.6MB","2026-08-06","2026-08-15","MIT","2","unknown","yes","false","plugin","@deepseek-ai/dsh; readme-mentions-dsh"
"PC2005-cloud/dsh-pet","https://github.com/PC2005-cloud/dsh-pet","DeepSeek Harness 桌面宠物插件 + 完整素材生成链：AI 提示词 → 绿幕视频 → 透明动画 → 可安装插件，从零到宠物全流程可复现","A DeepSeek Harness desktop-pet plugin plus a full asset pipeline: AI prompts → green-screen video → transparent animation → installable plugin, reproducing the whole journey from zero to pet.","tools","yes","JavaScript","JavaScript","","445","0","101338986","96.6MB","2026-08-14","2026-08-14","MIT","1","unknown","yes","false","plugin","readme-mentions-dsh"
